Compilation;Date;Value;plotParameter
"CAPP 2012 - SCO + Bitumen";1980-09-08;134800.05172845;2
"CAPP 2012 - SCO + Bitumen";1980-09-30;133786.31694293;2
"CAPP 2012 - SCO + Bitumen";1980-10-22;132772.58215741;2
"CAPP 2012 - SCO + Bitumen";1980-11-13;131758.84737188;2
"CAPP 2012 - SCO + Bitumen";1980-12-05;130745.11258635;2
"CAPP 2012 - SCO + Bitumen";1980-12-27;129731.37780083;2
"CAPP 2012 - SCO + Bitumen";1981-01-18;128717.6430153;2
"CAPP 2012 - SCO + Bitumen";1981-02-09;127703.90822978;2
"CAPP 2012 - SCO + Bitumen";1981-03-03;126690.17344426;2
"CAPP 2012 - SCO + Bitumen";1981-03-25;125676.43865873;2
"CAPP 2012 - SCO + Bitumen";1981-04-16;124662.7038732;2
"CAPP 2012 - SCO + Bitumen";1981-05-08;123648.96908768;2
"CAPP 2012 - SCO + Bitumen";1981-05-30;122635.23430216;2
"CAPP 2012 - SCO + Bitumen";1981-06-21;121621.49951663;2
"CAPP 2012 - SCO + Bitumen";1981-07-13;121302.34679913;2
"CAPP 2012 - SCO + Bitumen";1981-08-04;121562.01247166;2
"CAPP 2012 - SCO + Bitumen";1981-08-26;121821.67814417;2
"CAPP 2012 - SCO + Bitumen";1981-09-17;122081.3438167;2
"CAPP 2012 - SCO + Bitumen";1981-10-09;122341.00948921;2
"CAPP 2012 - SCO + Bitumen";1981-10-31;122600.67516174;2
"CAPP 2012 - SCO + Bitumen";1981-11-22;122860.34083426;2
"CAPP 2012 - SCO + Bitumen";1981-12-14;123120.00650678;2
"CAPP 2012 - SCO + Bitumen";1982-01-05;123379.6721793;2
"CAPP 2012 - SCO + Bitumen";1982-01-27;123639.33785182;2
"CAPP 2012 - SCO + Bitumen";1982-02-18;123899.00352434;2
"CAPP 2012 - SCO + Bitumen";1982-03-12;124158.66919687;2
"CAPP 2012 - SCO + Bitumen";1982-04-03;124418.33486939;2
"CAPP 2012 - SCO + Bitumen";1982-04-25;124678.00054191;2
"CAPP 2012 - SCO + Bitumen";1982-05-17;124937.66621443;2
"CAPP 2012 - SCO + Bitumen";1982-06-08;125197.33188695;2
"CAPP 2012 - SCO + Bitumen";1982-06-30;125456.99755948;2
"CAPP 2012 - SCO + Bitumen";1982-07-22;128257.75150329;2
"CAPP 2012 - SCO + Bitumen";1982-08-13;131179.50965051;2
"CAPP 2012 - SCO + Bitumen";1982-09-04;134101.26779773;2
"CAPP 2012 - SCO + Bitumen";1982-09-26;137023.02594494;2
"CAPP 2012 - SCO + Bitumen";1982-10-18;139944.78409215;2
"CAPP 2012 - SCO + Bitumen";1982-11-09;142866.54223937;2
"CAPP 2012 - SCO + Bitumen";1982-12-01;145788.30038659;2
"CAPP 2012 - SCO + Bitumen";1982-12-23;148710.0585338;2
"CAPP 2012 - SCO + Bitumen";1983-01-14;151631.81668101;2
"CAPP 2012 - SCO + Bitumen";1983-02-05;154553.57482823;2
"CAPP 2012 - SCO + Bitumen";1983-02-27;157475.33297545;2
